Trans. Date,Description,Amount,Category
8/28/19,LIM*RIDE COST 888-546-3345 CAAPPLE PAY ENDING IN 0296,1.5,Travel/ Entertainment
8/28/19,Safeway,11.97,Supermarkets
8/29/19,Nike,43.56,Merchandise
8/31/19,Target,34.85,Supermarkets
8/31/19,Target,71.72,Supermarkets
9/1/19,Subway,5.38,Restaurants
9/6/19,Target,6.47,Supermarkets
9/8/19,Chipotle,6.64,Restaurants
9/9/19,FANSHIELD 844-849-4827 CA,3.99,Services
9/9/19,TICKETSWEST WA WEBPHBX 800-325-7328 WA94164987I06TCBRL,41.0,Travel/ Entertainment
9/13/19,Vending Machine,2.0,Restaurants
9/23/19,Subway,5.38,Restaurants
9/28/19,Safeway,8.48,Supermarkets
9/28/19,Target,25.39,Supermarkets
9/28/19,WADDELLS SPOKANE WA,22.39,Restaurants
10/1/19,DoorDash,20.64,Restaurants
10/2/19,GOODWILL #201 DOWNTOWN S SPOKANE WA,21.77,Merchandise
10/3/19,Amazon.com,106.54,Merchandise
10/3/19,DoorDash,40.13,Restaurants
10/5/19,Amazon.com,7.61,Merchandise
10/5/19,Microsoft,9.99,Services
10/5/19,Microsoft,9.99,Services
10/5/19,Microsoft,59.99,Services
10/5/19,Microsoft,59.99,Services
10/5/19,NORTHTOWN MALL STM 12 SPOKANE WA,24.37,Travel/ Entertainment
10/6/19,Microsoft,9.99,Services
10/7/19,Amazon.com,72.95,Merchandise
10/7/19,Microsoft,19.99,Services
10/10/19,FRG*TEAMFANSHOP 855-210-8831 FLAPPLE PAY ENDING IN 0296,53.87,Merchandise
10/11/19,Microsoft,19.99,Services
10/12/19,DoorDash,41.52,Restaurants
10/17/19,Amazon.com,10.88,Merchandise
10/17/19,WALMART.COM 8009666546 800-966-6546 AR,7.62,Merchandise
10/21/19,Target,5.11,Supermarkets
10/21/19,Target,40.31,Supermarkets
10/22/19,DoorDash,15.52,Restaurants
10/24/19,DoorDash,18.85,Restaurants
10/24/19,Vending Machine,2.0,Restaurants
10/25/19,DoorDash,16.52,Restaurants
10/27/19,Vending Machine,2.0,Restaurants
10/29/19,DoorDash,19.85,Restaurants
10/30/19,DoorDash,16.52,Restaurants
11/3/19,DoorDash,15.54,Restaurants
11/7/19,DoorDash,16.39,Restaurants
11/9/19,DoorDash,27.58,Restaurants
11/10/19,PayPal,32.67,Services
11/11/19,247SPORTS 888-508-3055 CA,1.0,Merchandise
11/11/19,DoorDash,19.76,Restaurants
11/13/19,GOLDEN CORRAL 0710 SPOKANE WA,19.91,Restaurants
11/17/19,BIG TEN NETWORK 407-936-0560 NY,14.95,Merchandise
11/18/19,DoorDash,18.31,Restaurants
11/19/19,DoorDash,17.38,Restaurants
11/20/19,Amazon.com,16.28,Merchandise
11/21/19,Chegg,14.95,Merchandise
11/21/19,DoorDash,20.54,Restaurants
11/23/19,Microsoft,1.0,Services
11/23/19,Microsoft,1.99,Services
11/27/19,BATSONS CORNER STORE EAGLE CO,1.71,Merchandise
11/27/19,McDonalds,22.08,Restaurants
11/27/19,WAL-MART SC - #1199 AVON CO,25.06,Merchandise
12/1/19,DoorDash,17.81,Restaurants
12/1/19,UNITED AIRLINES 18004214655 TX,2.99,Travel/ Entertainment
12/3/19,DoorDash,9.99,Restaurants
12/5/19,DoorDash,20.67,Restaurants
12/8/19,Riot Games,38.12,Merchandise
12/9/19,POSTMATES 0860B BLAZE 877-887-7815 CAAPPLE PAY ENDING IN 0296,19.25,Restaurants
12/12/19,BHN*GIFTCARDS 877-944-3822 CABHN*GIFTCARDS,15.95,Services
12/12/19,DoorDash,20.06,Restaurants
12/13/19,Steam,39.99,Merchandise
12/17/19,Steam,5.0,Merchandise
12/17/19,Steam,43.97,Merchandise
12/18/19,Steam,5.0,Merchandise
12/18/19,Steam,5.0,Merchandise
12/18/19,Steam,39.2,Merchandise
12/21/19,Chegg,14.95,Merchandise
12/27/19,Steam,0.85,Merchandise
