Trans. Date,Post Date,Description,Amount,Category
8/28/19,8/28/19,LIM*RIDE COST 888-546-3345 CAAPPLE PAY ENDING IN 0296,1.5,Travel/ Entertainment
8/28/19,8/28/19,SAFEWAY STORE 3255 SPOKANE WA,11.97,Supermarkets
8/29/19,8/29/19,NIKE INC. SPOKANE WA,43.56,Merchandise
8/31/19,8/31/19,TARGET SPOKANE WA,34.85,Supermarkets
8/31/19,8/31/19,TARGET SPOKANE WAAPPLE PAY ENDING IN 0296,71.72,Supermarkets
9/1/19,9/1/19,SUBWAY 00543611255 SPOKANE WA,5.38,Restaurants
9/5/19,9/5/19,INTERNET PAYMENT - THANK YOU,-168.98,Payments and Credits
9/6/19,9/6/19,TARGET SPOKANE WAAPPLE PAY ENDING IN 0296,6.47,Supermarkets
9/8/19,9/8/19,CHIPOTLE 1544 SPOKANE WA,6.64,Restaurants
9/9/19,9/9/19,FANSHIELD 844-849-4827 CA,3.99,Services
9/9/19,9/9/19,TICKETSWEST WA WEBPHBX 800-325-7328 WA94164987I06TCBRL,41,Travel/ Entertainment
9/13/19,9/13/19,USA*VALLEY VENDING SPOKANE WAAPPLE PAY ENDING IN 1786TD368679-1568355440,2,Restaurants
9/23/19,9/23/19,SUBWAY 00543611255 SPOKANE WA,5.38,Restaurants
9/28/19,9/28/19,SAFEWAY STORE 3255 SPOKANE WAAPPLE PAY ENDING IN 0296,8.48,Supermarkets
9/28/19,9/28/19,TARGET SPOKANE WA,25.39,Supermarkets
9/28/19,9/28/19,WADDELLS SPOKANE WA,22.39,Restaurants
10/1/19,10/1/19,DOORDASH*MCDONALDS 650-681-9470 CAAPPLE PAY ENDING IN 0296,20.64,Restaurants
10/2/19,10/2/19,GOODWILL #201 DOWNTOWN S SPOKANE WA,21.77,Merchandise
10/3/19,10/3/19,AMZN MKTP US*4H9JZ67T3 AMZN.COM/BILLWA5OF6R5O8R5P,106.54,Merchandise
10/3/19,10/3/19,DOORDASH*MCDONALDS 650-681-9470 CAAPPLE PAY ENDING IN 0296,40.13,Restaurants
10/5/19,10/5/19,AMAZON.COM*G74EI3ZF3 AMZN.COM/BILLWA789ONLZBCU6,7.61,Merchandise
10/5/19,10/5/19,MICROSOFT REDMOND WA,9.99,Services
10/5/19,10/5/19,MICROSOFT REDMOND WA,9.99,Services
10/5/19,10/5/19,MICROSOFT REDMOND WA,59.99,Services
10/5/19,10/5/19,MICROSOFT REDMOND WA,59.99,Services
10/5/19,10/5/19,NORTHTOWN MALL STM 12 SPOKANE WA,24.37,Travel/ Entertainment
10/6/19,10/6/19,INTERNET PAYMENT - THANK YOU,-310.82,Payments and Credits
10/6/19,10/6/19,MICROSOFT REDMOND WA,9.99,Services
10/7/19,10/7/19,AMZN MKTP US*W521Y6U23 AMZN.COM/BILLWANP2G2QTCMZP,72.95,Merchandise
10/7/19,10/7/19,MICROSOFT REDMOND WA,19.99,Services
10/10/19,10/10/19,FRG*TEAMFANSHOP 855-210-8831 FLAPPLE PAY ENDING IN 0296,53.87,Merchandise
10/11/19,10/11/19,INTERNET PAYMENT - THANK YOU,-274.87,Payments and Credits
10/11/19,10/11/19,MICROSOFT REDMOND WA,19.99,Services
10/12/19,10/12/19,DOORDASH*MCDONALDS 650-681-9470 CAAPPLE PAY ENDING IN 0296,41.52,Restaurants
10/17/19,10/17/19,AMZN MKTP US*PO5B275A3 AMZN.COM/BILLWA3KLLOXXXZII,10.88,Merchandise
10/17/19,10/17/19,WALMART.COM 8009666546 800-966-6546 AR,7.62,Merchandise
10/21/19,10/21/19,TARGET SPOKANE WA,5.11,Supermarkets
10/21/19,10/21/19,TARGET SPOKANE WA,40.31,Supermarkets
10/22/19,10/22/19,DOORDASH*MCDONALDS 650-681-9470 CAAPPLE PAY ENDING IN 0296,15.52,Restaurants
10/24/19,10/24/19,DOORDASH*MCDONALDS 650-681-9470 CAAPPLE PAY ENDING IN 0296,18.85,Restaurants
10/24/19,10/24/19,USA*VALLEY VENDING SPOKANE WAAPPLE PAY ENDING IN 1786TD368679-1571897833,2,Restaurants
